%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211956, 2017/01/30 14:22:35.58)
50 701 3.550312e-01 1.649989e+00  5.464849767811884400e+00  8.098473221551600400e+00  1.323192409854477300e+01  2.054877275772156500e+01
51 715 3.505305e-01 1.668326e+00  5.464849767811884400e+00  1.056874021717875100e+01  1.413539569064085700e+01  2.505830628678340900e+01
52 729 3.453907e-01 1.677160e+00  5.464849767811884400e+00  7.477125607664346400e+00  1.351629080407193100e+01  2.438806630788058900e+01
53 743 3.398797e-01 1.699962e+00  5.464849767811884400e+00  8.223938913202342600e+00  1.332935737828545100e+01  1.792398619658222400e+01
54 757 3.262193e-01 1.706482e+00  5.280491861295020700e+00  5.280491861295020700e+00  1.248478485623729900e+01  1.543719506191648300e+01
55 771 3.140170e-01 1.709258e+00  5.280491861295020700e+00  7.070909777703352700e+00  1.126011521342413100e+01  2.232019704494077300e+01
56 785 3.006427e-01 1.723986e+00  5.280491861295020700e+00  7.793841196864653000e+00  1.422229659585124400e+01  1.908137761079443700e+01
57 799 2.895227e-01 1.730598e+00  5.280491861295020700e+00  8.292151995975558500e+00  1.380562233887723200e+01  1.754057704119900100e+01
58 813 2.876662e-01 1.749162e+00  5.280491861295020700e+00  6.574988459913879700e+00  1.054088637647448200e+01  1.355533927316509100e+01
59 827 2.786511e-01 1.751818e+00  5.280491861295020700e+00  6.085447750357546100e+00  1.218848883184827000e+01  1.971499179939630900e+01
60 841 2.684725e-01 1.752840e+00  5.280491861295020700e+00  6.774076986135700200e+00  1.401881414493927400e+01  2.137885378450090100e+01
61 855 2.627047e-01 1.753705e+00  5.280491861295020700e+00  6.840489394420160400e+00  1.123597959409792000e+01  1.527022111676283700e+01
62 869 2.596343e-01 1.757557e+00  4.454225043239784300e+00  4.454225043239784300e+00  9.835386414072917900e+00  1.577198646166163300e+01
63 883 2.527464e-01 1.760466e+00  4.454225043239784300e+00  7.610733788945794700e+00  1.035260712012504300e+01  1.512590407287093300e+01
64 897 2.447648e-01 1.764680e+00  4.454225043239784300e+00  5.381033602324343700e+00  1.038179530278625900e+01  1.477510288052633300e+01
65 911 2.463008e-01 1.766500e+00  4.454225043239784300e+00  7.475905244355789000e+00  1.120658901722229900e+01  1.394120262066100000e+01
66 925 2.407738e-01 1.772975e+00  4.454225043239784300e+00  6.391088114271925100e+00  1.129708102072637400e+01  1.426664711327311600e+01
67 939 2.318951e-01 1.773351e+00  3.762989476169868600e+00  3.762989476169868600e+00  1.055444896346938700e+01  1.830950518177789400e+01
