%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211956, 2017/01/30 14:22:35.58)
15 211 2.663611e-01 0 0 2.617262e-01 2.649649e-01 2.622467e-01 2.664789e-01 2.670027e-01 2.658860e-01 2.615140e-01 2.650232e-01 2.679843e-01 2.612292e-01 2.694044e-01 2.681325e-01 2.668221e-01 2.627045e-01 2.879140e-01 2.636103e-01 2.675754e-01 2.629166e-01 2.657039e-01 2.675322e-01 2.681941e-01 2.632174e-01 2.658902e-01 2.651340e-01 2.615095e-01 2.663959e-01 2.647803e-01 2.593541e-01 2.674878e-01 2.671135e-01 
16 225 2.691175e-01 0 0 2.645710e-01 2.672421e-01 2.646026e-01 2.696333e-01 2.697296e-01 2.689580e-01 2.637328e-01 2.679721e-01 2.701397e-01 2.641540e-01 2.722602e-01 2.724472e-01 2.687655e-01 2.648343e-01 2.906629e-01 2.658427e-01 2.700375e-01 2.652685e-01 2.687896e-01 2.710302e-01 2.717152e-01 2.656654e-01 2.688285e-01 2.678948e-01 2.638054e-01 2.686413e-01 2.672824e-01 2.615515e-01 2.698482e-01 2.696033e-01 
17 239 2.744940e-01 0 0 2.693903e-01 2.720163e-01 2.696220e-01 2.749717e-01 2.746879e-01 2.744296e-01 2.683838e-01 2.740149e-01 2.755830e-01 2.702183e-01 2.773314e-01 2.779707e-01 2.741347e-01 2.697484e-01 2.959784e-01 2.714495e-01 2.748697e-01 2.702243e-01 2.739040e-01 2.776580e-01 2.776225e-01 2.702863e-01 2.743666e-01 2.743373e-01 2.685074e-01 2.734273e-01 2.718500e-01 2.662269e-01 2.745199e-01 2.749604e-01 
18 253 2.762365e-01 0 0 2.711306e-01 2.731149e-01 2.709622e-01 2.769050e-01 2.758978e-01 2.764781e-01 2.709914e-01 2.777777e-01 2.776820e-01 2.718709e-01 2.786538e-01 2.798844e-01 2.752547e-01 2.707608e-01 2.975151e-01 2.730286e-01 2.760983e-01 2.713776e-01 2.762293e-01 2.796164e-01 2.791659e-01 2.719650e-01 2.764934e-01 2.757786e-01 2.700267e-01 2.753390e-01 2.727196e-01 2.675523e-01 2.764247e-01 2.774750e-01 
19 267 2.762069e-01 0 0 2.711537e-01 2.738078e-01 2.701844e-01 2.770437e-01 2.751970e-01 2.764844e-01 2.709965e-01 2.777717e-01 2.772886e-01 2.714176e-01 2.781772e-01 2.801623e-01 2.746262e-01 2.704346e-01 2.985220e-01 2.727892e-01 2.775154e-01 2.732404e-01 2.761055e-01 2.796808e-01 2.786729e-01 2.733350e-01 2.761134e-01 2.755725e-01 2.702419e-01 2.749779e-01 2.719936e-01 2.670832e-01 2.761490e-01 2.775217e-01 
20 281 2.812977e-01 0 0 2.767636e-01 2.781370e-01 2.750230e-01 2.822885e-01 2.799720e-01 2.810376e-01 2.752916e-01 2.828818e-01 2.842284e-01 2.765095e-01 2.828120e-01 2.866409e-01 2.793440e-01 2.752198e-01 3.044010e-01 2.777311e-01 2.824045e-01 2.778049e-01 2.813120e-01 2.845386e-01 2.837660e-01 2.779895e-01 2.807323e-01 2.803371e-01 2.748399e-01 2.802186e-01 2.769066e-01 2.716025e-01 2.805149e-01 2.839730e-01 
21 295 2.860196e-01 0 0 2.820118e-01 2.825582e-01 2.807548e-01 2.866180e-01 2.844579e-01 2.851493e-01 2.798235e-01 2.886177e-01 2.888452e-01 2.815518e-01 2.872951e-01 2.917413e-01 2.834481e-01 2.799800e-01 3.094625e-01 2.821893e-01 2.867802e-01 2.828536e-01 2.871025e-01 2.900182e-01 2.882858e-01 2.825545e-01 2.850974e-01 2.856278e-01 2.796882e-01 2.845619e-01 2.819755e-01 2.763061e-01 2.847772e-01 2.891102e-01 
22 309 2.897466e-01 0 0 2.855821e-01 2.859784e-01 2.844616e-01 2.896129e-01 2.884270e-01 2.883314e-01 2.833018e-01 2.919369e-01 2.939423e-01 2.848113e-01 2.915983e-01 2.967394e-01 2.865335e-01 2.840737e-01 3.139110e-01 2.853371e-01 2.902036e-01 2.866144e-01 2.901326e-01 2.929521e-01 2.930665e-01 2.857993e-01 2.887987e-01 2.909794e-01 2.826319e-01 2.881927e-01 2.855754e-01 2.796370e-01 2.893195e-01 2.924921e-01 
23 323 2.933088e-01 0 0 2.900928e-01 2.887802e-01 2.874506e-01 2.926523e-01 2.913869e-01 2.909345e-01 2.873786e-01 2.955585e-01 2.969965e-01 2.880800e-01 2.947113e-01 3.006074e-01 2.897308e-01 2.868132e-01 3.176920e-01 2.891283e-01 2.937705e-01 2.901104e-01 2.933063e-01 2.964571e-01 2.965467e-01 2.902079e-01 2.918734e-01 2.945313e-01 2.859992e-01 2.920953e-01 2.891158e-01 2.831721e-01 2.938524e-01 2.968377e-01 
24 337 2.941059e-01 0 0 2.912626e-01 2.898453e-01 2.888743e-01 2.928932e-01 2.921231e-01 2.909855e-01 2.881250e-01 2.960518e-01 2.978191e-01 2.883362e-01 2.950822e-01 3.012306e-01 2.905560e-01 2.883864e-01 3.185415e-01 2.895041e-01 2.942556e-01 2.921584e-01 2.942914e-01 2.967347e-01 2.982404e-01 2.909102e-01 2.928596e-01 2.957363e-01 2.869247e-01 2.927025e-01 2.893313e-01 2.841411e-01 2.947172e-01 2.971506e-01 
25 351 2.977702e-01 0 0 2.955033e-01 2.930927e-01 2.931072e-01 2.960947e-01 2.952961e-01 2.948509e-01 2.911838e-01 2.996966e-01 3.009547e-01 2.914653e-01 2.981819e-01 3.067441e-01 2.942143e-01 2.931830e-01 3.219872e-01 2.930647e-01 2.980090e-01 2.962758e-01 2.981015e-01 3.000946e-01 3.021160e-01 2.942190e-01 2.969848e-01 2.997843e-01 2.902035e-01 2.958677e-01 2.929681e-01 2.876189e-01 3.005442e-01 3.006823e-01 
26 365 3.023997e-01 0 0 3.000527e-01 2.969522e-01 2.974671e-01 3.006522e-01 2.994406e-01 2.995598e-01 2.955076e-01 3.040795e-01 3.049361e-01 2.957429e-01 3.024660e-01 3.114270e-01 2.996955e-01 2.979424e-01 3.259931e-01 2.970981e-01 3.027845e-01 3.004469e-01 3.034800e-01 3.041910e-01 3.069347e-01 2.991344e-01 3.019443e-01 3.061335e-01 2.947113e-01 2.999971e-01 2.974139e-01 2.917023e-01 3.056969e-01 3.055372e-01 
